arrest_year,sex,age_cohort,category,neighbourhood
2015,Male,25 to 34,Criminal Code Traffic,Kennedy Park
2017,Female,55 to 64,Other Criminal Code Violations,Leaside-Bennington
2018,Male,25 to 34,Criminal Code Traffic,Cabbagetown-South St.James Town
2017,Female,25 to 34,Crimes Against Property,Dovercourt Village
2021,Female,45 to 54,Other Criminal Code Violations,Etobicoke City Centre
2014,Male,18 to 24,Other Criminal Code Violations,University
2021,Male,<18,Criminal Code Traffic,Parkwoods-O'Connor Hills
2017,Male,35 to 44,Crimes Against Property,NSA
2015,Male,45 to 54,Crimes Against Property,Englemount-Lawrence
2022,Male,25 to 34,Crimes Against Property,Lambton Baby Point
2021,Male,25 to 34,Crimes Against the Person,Kensington-Chinatown
2016,Male,35 to 44,Other Criminal Code Violations,South Riverdale
2022,Male,35 to 44,Crimes Against Property,Rosedale-Moore Park
2022,Male,18 to 24,Other Criminal Code Violations,Kennedy Park
2022,Male,45 to 54,Crimes Against Property,Wexford/Maryvale
2017,Female,25 to 34,Crimes Against the Person,Scarborough Village
2017,Male,35 to 44,Crimes Against the Person,Woodbine Corridor
2015,Male,35 to 44,Crimes Against the Person,Greenwood-Coxwell
2022,Female,35 to 44,Crimes Against Property,L'Amoreaux West
2019,Male,35 to 44,Crimes Against the Person,Humber Bay Shores
2017,Female,18 to 24,Crimes Against the Person,Willowdale West
2015,Female,25 to 34,Other Criminal Code Violations,South Parkdale
2022,Female,55 to 64,Crimes Against Property,East End-Danforth
2021,Male,65+,Other Criminal Code Violations,Agincourt North
2017,Male,25 to 34,Crimes Against the Person,Taylor-Massey
2020,Female,35 to 44,Crimes Against Property,Harbourfront-CityPlace
2018,Male,35 to 44,Crimes Against the Person,Ionview
2020,Male,35 to 44,Other Criminal Code Violations,Playter Estates-Danforth
2019,Female,35 to 44,Other Criminal Code Violations,NSA
2015,Male,65+,Crimes Against the Person,Pleasant View
2018,Male,18 to 24,Crimes Against Property,Bridle Path-Sunnybrook-York Mills
2020,Female,18 to 24,Crimes Against Property,Runnymede-Bloor West Village
2021,Male,18 to 24,Crimes Against the Person,Tam O'Shanter-Sullivan
2014,Male,<18,Crimes Against Property,Long Branch
2017,Male,35 to 44,Other Criminal Code Violations,Bayview Village
2016,Male,45 to 54,Criminal Code Traffic,Broadview North
2016,Male,25 to 34,Other Criminal Code Violations,Wellington Place
2014,Female,25 to 34,Crimes Against the Person,South Parkdale
2014,Male,45 to 54,Other Criminal Code Violations,Annex
2016,Male,55 to 64,Crimes Against the Person,Steeles
2014,Male,35 to 44,Crimes Against Property,Flemingdon Park
2019,Female,35 to 44,Crimes Against the Person,Rockcliffe-Smythe
2015,Male,18 to 24,Crimes Against the Person,Fort York-Liberty Village
2021,Female,<18,Other Criminal Code Violations,North St.James Town
2016,Male,<18,Crimes Against Property,Willowdale West
2014,Male,35 to 44,Other Criminal Code Violations,Thorncliffe Park
2015,Male,45 to 54,Crimes Against Property,The Beaches
2022,Male,<18,Other Criminal Code Violations,Bendale-Glen Andrew
2021,Male,25 to 34,Crimes Against Property,Harbourfront-CityPlace
2017,Male,<18,Crimes Against the Person,University
2016,Male,45 to 54,Crimes Against the Person,Malvern East
2019,Female,18 to 24,Crimes Against Property,Mount Olive-Silverstone-Jamestown
2020,Female,18 to 24,Crimes Against Property,Dufferin Grove
2018,Male,25 to 34,Other Criminal Code Violations,Bendale-Glen Andrew
2022,Male,35 to 44,Crimes Against Property,Maple Leaf
2020,Female,18 to 24,Crimes Against Property,Thorncliffe Park
2014,Male,<18,Crimes Against Property,Golfdale-Cedarbrae-Woburn
2021,Female,25 to 34,Crimes Against the Person,Dovercourt Village
2018,Male,35 to 44,Crimes Against Property,South Riverdale
2019,Female,35 to 44,Crimes Against Property,Dorset Park
2021,Male,<18,Crimes Against the Person,Blake-Jones
2021,Male,25 to 34,Crimes Against the Person,NSA
2015,Male,18 to 24,Crimes Against the Person,Kensington-Chinatown
2022,Male,18 to 24,Crimes Against the Person,South Parkdale
2017,Male,25 to 34,Controlled Drugs and Substances Act,Church-Wellesley
2020,Male,45 to 54,Other Criminal Code Violations,Trinity-Bellwoods
2014,Male,45 to 54,Crimes Against Property,Yorkdale-Glen Park
2016,Male,35 to 44,Other Criminal Code Violations,East L'Amoreaux
2022,Female,<18,Crimes Against Property,Bendale-Glen Andrew
2018,Female,35 to 44,Crimes Against the Person,Golfdale-Cedarbrae-Woburn
2022,Male,<18,Other Criminal Code Violations,Danforth
2016,Male,18 to 24,Other Criminal Code Violations,Hillcrest Village
2022,Female,25 to 34,Crimes Against Property,Rosedale-Moore Park
2017,Male,25 to 34,Crimes Against Property,Yonge-Doris
2022,Male,18 to 24,Other Criminal Code Violations,Forest Hill North
2014,Female,65+,Criminal Code Traffic,Oakwood Village
2018,Male,18 to 24,Crimes Against the Person,O'Connor-Parkview
2021,Female,35 to 44,Crimes Against Property,Agincourt South-Malvern West
2014,Male,45 to 54,Crimes Against the Person,Bayview Village
2015,Female,18 to 24,Crimes Against the Person,Kensington-Chinatown
2015,Male,18 to 24,Crimes Against Property,Bedford Park-Nortown
2022,Female,55 to 64,Crimes Against the Person,South Riverdale
2020,Male,25 to 34,Crimes Against Property,Lawrence Park North
2015,Male,<18,Other Criminal Code Violations,Humber Summit
2015,Female,35 to 44,Crimes Against the Person,Taylor-Massey
2014,Male,65+,Crimes Against Property,High Park-Swansea
2017,Male,<18,Controlled Drugs and Substances Act,Flemingdon Park
2016,Male,65+,Controlled Drugs and Substances Act,West Queen West
2015,Male,55 to 64,Crimes Against the Person,Junction Area
2020,Male,45 to 54,Other Criminal Code Violations,Thistletown-Beaumond Heights
2018,Female,45 to 54,Crimes Against Property,Long Branch
2014,Male,35 to 44,Crimes Against Property,Scarborough Village
2019,Male,35 to 44,Crimes Against Property,St Lawrence-East Bayfront-The Islands
2015,Male,<18,Crimes Against the Person,Thorncliffe Park
2014,Female,65+,Crimes Against Property,Rosedale-Moore Park
2020,Female,35 to 44,Crimes Against Property,Kensington-Chinatown
2015,Male,18 to 24,Other Criminal Code Violations,High Park-Swansea
2019,Male,45 to 54,Other Criminal Code Violations,Junction-Wallace Emerson
2019,Male,25 to 34,Other Criminal Code Violations,Yonge-St.Clair
2017,Male,45 to 54,Crimes Against Property,Golfdale-Cedarbrae-Woburn
2020,Male,55 to 64,Crimes Against the Person,Lansing-Westgate
2020,Male,55 to 64,Other Criminal Code Violations,South Parkdale
2014,Female,25 to 34,Crimes Against Property,Kensington-Chinatown
2022,Male,55 to 64,Other Criminal Code Violations,Junction Area
2016,Male,35 to 44,Crimes Against Property,Kensington-Chinatown
2021,Male,18 to 24,Crimes Against the Person,Birchcliffe-Cliffside
2018,Male,18 to 24,Controlled Drugs and Substances Act,Blake-Jones
2015,Female,35 to 44,Crimes Against Property,Eglinton East
2017,Male,35 to 44,Crimes Against the Person,Harbourfront-CityPlace
2021,Male,<18,Crimes Against Property,Malvern West
2019,Male,45 to 54,Crimes Against the Person,Yonge-Doris
2020,Male,35 to 44,Crimes Against Property,Roncesvalles
2021,Female,35 to 44,Crimes Against Property,Eglinton East
2020,Male,55 to 64,Other Criminal Code Violations,Fort York-Liberty Village
2015,Female,35 to 44,Crimes Against the Person,Brookhaven-Amesbury
2014,Female,35 to 44,Other Criminal Code Violations,South Parkdale
2019,Male,55 to 64,Crimes Against the Person,West Hill
2020,Male,35 to 44,Other Criminal Code Violations,Wexford/Maryvale
2020,Male,25 to 34,Other Criminal Code Violations,NSA
2015,Male,18 to 24,Crimes Against the Person,Steeles
2022,Male,<18,Crimes Against Property,Rockcliffe-Smythe
2015,Female,25 to 34,Other Criminal Code Violations,East End-Danforth
2017,Male,25 to 34,Criminal Code Traffic,West Hill
2022,Male,55 to 64,Crimes Against Property,Bendale South
2016,Male,25 to 34,Criminal Code Traffic,Bendale South
2021,Female,45 to 54,Crimes Against the Person,Princess-Rosethorn
2018,Male,55 to 64,Crimes Against the Person,Banbury-Don Mills
2018,Female,45 to 54,Crimes Against the Person,Pelmo Park-Humberlea
2016,Female,35 to 44,Crimes Against Property,Rosedale-Moore Park
2021,Male,25 to 34,Criminal Code Traffic,Harbourfront-CityPlace
2017,Male,25 to 34,Crimes Against the Person,Lawrence Park North
2018,Male,18 to 24,Criminal Code Traffic,Old East York
2020,Male,25 to 34,Crimes Against Property,Junction Area
2014,Female,35 to 44,Other Criminal Code Violations,Brookhaven-Amesbury
2018,Male,35 to 44,Crimes Against the Person,Golfdale-Cedarbrae-Woburn
2018,Female,45 to 54,Other Criminal Code Violations,O'Connor-Parkview
2014,Male,45 to 54,Crimes Against the Person,Eglinton East
2021,Male,55 to 64,Crimes Against the Person,Etobicoke City Centre
2020,Male,55 to 64,Crimes Against the Person,Humbermede
2018,Male,<18,Crimes Against the Person,Clairlea-Birchmount
2014,Male,45 to 54,Crimes Against Property,West Hill
2021,Male,25 to 34,Crimes Against the Person,South Riverdale
2015,Female,45 to 54,Controlled Drugs and Substances Act,Woodbine-Lumsden
2022,Male,55 to 64,Crimes Against the Person,Rockcliffe-Smythe
2014,Male,25 to 34,Controlled Drugs and Substances Act,Dufferin Grove
2019,Female,45 to 54,Crimes Against the Person,Clairlea-Birchmount
2014,Male,55 to 64,Crimes Against Property,Wexford/Maryvale
2017,Male,<18,Crimes Against Property,Woodbine-Lumsden
2017,Male,55 to 64,Controlled Drugs and Substances Act,Mount Olive-Silverstone-Jamestown
2021,Male,25 to 34,Crimes Against Property,Bridle Path-Sunnybrook-York Mills
2019,Female,55 to 64,Crimes Against Property,Playter Estates-Danforth
2020,Male,45 to 54,Crimes Against Property,Wychwood
2019,Male,25 to 34,Other Criminal Code Violations,Kensington-Chinatown
2020,Male,18 to 24,Crimes Against Property,Beechborough-Greenbrook
2020,Male,35 to 44,Controlled Drugs and Substances Act,Kensington-Chinatown
2014,Male,45 to 54,Crimes Against Property,Oakdale-Beverley Heights
2014,Female,45 to 54,Criminal Code Traffic,Highland Creek
2019,Female,35 to 44,Other Criminal Code Violations,Playter Estates-Danforth
2019,Male,45 to 54,Crimes Against the Person,Palmerston-Little Italy
2021,Female,18 to 24,Crimes Against the Person,North Riverdale
2015,Male,45 to 54,Crimes Against the Person,Yonge-Bay Corridor
2014,Male,45 to 54,Crimes Against Property,York University Heights
2019,Male,35 to 44,Crimes Against Property,Bayview Village
2019,Male,45 to 54,Crimes Against Property,Annex
2015,Female,18 to 24,Other Criminal Code Violations,Malvern West
2019,Female,45 to 54,Crimes Against Property,Etobicoke City Centre
2022,Male,<18,Other Criminal Code Violations,Morningside
2018,Female,55 to 64,Crimes Against the Person,Willowridge-Martingrove-Richview
2014,Female,35 to 44,Crimes Against Property,Birchcliffe-Cliffside
2019,Female,25 to 34,Other Criminal Code Violations,Black Creek
2019,Male,45 to 54,Crimes Against Property,Bayview Woods-Steeles
2015,Male,18 to 24,Crimes Against the Person,Yonge-Eglinton
2022,Male,25 to 34,Other Criminal Code Violations,Yonge-St.Clair
2019,Male,35 to 44,Crimes Against Property,Rustic
2021,Male,18 to 24,Other Criminal Code Violations,York University Heights
2017,Male,18 to 24,Crimes Against the Person,Agincourt South-Malvern West
2017,Male,65+,Other Criminal Code Violations,York University Heights
2015,Male,25 to 34,Crimes Against the Person,Etobicoke West Mall
2022,Male,55 to 64,Other Criminal Code Violations,Kensington-Chinatown
2021,Male,25 to 34,Crimes Against the Person,Humber Heights-Westmount
2017,Male,55 to 64,Crimes Against Property,Wellington Place
2014,Male,25 to 34,Crimes Against Property,Junction-Wallace Emerson
2020,Male,18 to 24,Other Criminal Code Violations,Yonge-Eglinton
2016,Male,65+,Other Criminal Code Violations,Humbermede
2018,Male,35 to 44,Criminal Code Traffic,Keelesdale-Eglinton West
2020,Female,18 to 24,Other Criminal Code Violations,Wexford/Maryvale
2018,Male,25 to 34,Other Criminal Code Violations,Agincourt North
2015,Male,18 to 24,Other Criminal Code Violations,Annex
2022,Male,18 to 24,Other Criminal Code Violations,Mount Dennis
2021,Male,18 to 24,Crimes Against the Person,Golfdale-Cedarbrae-Woburn
2018,Male,<18,Crimes Against Property,West Rouge
2017,Male,18 to 24,Crimes Against Property,Etobicoke City Centre
2019,Female,25 to 34,Crimes Against Property,Dorset Park
2019,Male,35 to 44,Crimes Against the Person,Caledonia-Fairbank
2021,Male,<18,Other Criminal Code Violations,NSA
2021,Male,45 to 54,Crimes Against Property,Humber Summit
2014,Male,45 to 54,Crimes Against the Person,Yonge-Doris
2016,Female,45 to 54,Crimes Against the Person,South Parkdale
2020,Male,35 to 44,Crimes Against the Person,Tam O'Shanter-Sullivan
2016,Male,<18,Crimes Against Property,Princess-Rosethorn
2016,Male,<18,Crimes Against Property,Thorncliffe Park
2015,Female,25 to 34,Other Criminal Code Violations,Humber Bay Shores
2017,Male,45 to 54,Controlled Drugs and Substances Act,Mount Pleasant East
2021,Male,18 to 24,Crimes Against the Person,Oakdale-Beverley Heights
2018,Male,45 to 54,Crimes Against Property,Glenfield-Jane Heights
2014,Male,45 to 54,Criminal Code Traffic,Etobicoke West Mall
2016,Female,45 to 54,Crimes Against Property,Harbourfront-CityPlace
2017,Male,35 to 44,Crimes Against Property,Englemount-Lawrence
2021,Female,18 to 24,Crimes Against the Person,Church-Wellesley
2014,Male,25 to 34,Crimes Against Property,Westminster-Branson
2015,Female,25 to 34,Crimes Against the Person,Mount Olive-Silverstone-Jamestown
2019,Male,55 to 64,Crimes Against the Person,Mount Olive-Silverstone-Jamestown
2014,Male,35 to 44,Crimes Against the Person,Danforth
2017,Male,25 to 34,Other Criminal Code Violations,Rustic
2017,Male,35 to 44,Crimes Against Property,Kennedy Park
2021,Female,25 to 34,Crimes Against the Person,North St.James Town
2019,Male,25 to 34,Criminal Code Traffic,Lawrence Park South
2020,Male,35 to 44,Crimes Against the Person,L'Amoreaux West
2014,Male,35 to 44,Crimes Against Property,Thistletown-Beaumond Heights
2019,Female,45 to 54,Crimes Against Property,Wexford/Maryvale
2015,Male,18 to 24,Crimes Against Property,Maple Leaf
2014,Male,55 to 64,Controlled Drugs and Substances Act,Dorset Park
2017,Female,25 to 34,Crimes Against Property,Bay-Cloverhill
2014,Male,35 to 44,Other Criminal Code Violations,Rockcliffe-Smythe
2014,Female,45 to 54,Criminal Code Traffic,Yorkdale-Glen Park
2017,Male,25 to 34,Crimes Against the Person,Weston-Pelham Park
2021,Female,25 to 34,Crimes Against Property,Oakridge
2017,Male,55 to 64,Controlled Drugs and Substances Act,North St.James Town
2018,Female,45 to 54,Criminal Code Traffic,Dorset Park
2020,Female,18 to 24,Crimes Against the Person,Ionview
2021,Male,25 to 34,Crimes Against the Person,Lambton Baby Point
2021,Female,18 to 24,Controlled Drugs and Substances Act,St Lawrence-East Bayfront-The Islands
2019,Male,45 to 54,Crimes Against Property,Oakridge
2015,Male,45 to 54,Crimes Against Property,Parkwoods-O'Connor Hills
2015,Male,<18,Crimes Against Property,Clairlea-Birchmount
2022,Male,25 to 34,Crimes Against the Person,Briar Hill-Belgravia
2018,Male,18 to 24,Other Criminal Code Violations,Clanton Park
2021,Male,18 to 24,Crimes Against Property,Victoria Village
2018,Male,25 to 34,Criminal Code Traffic,Wychwood
2021,Male,25 to 34,Controlled Drugs and Substances Act,Little Portugal
2020,Male,45 to 54,Controlled Drugs and Substances Act,Oakdale-Beverley Heights
2017,Male,65+,Controlled Drugs and Substances Act,Malvern East
2018,Male,<18,Other Criminal Code Violations,Clairlea-Birchmount
2015,Female,25 to 34,Crimes Against Property,Flemingdon Park
2022,Female,25 to 34,Other Criminal Code Violations,Woodbine Corridor
2022,Female,55 to 64,Crimes Against Property,Yorkdale-Glen Park
2014,Male,18 to 24,Controlled Drugs and Substances Act,NSA
2022,Female,55 to 64,Crimes Against Property,Greenwood-Coxwell
2022,Male,55 to 64,Criminal Code Traffic,Bayview Woods-Steeles
2020,Male,25 to 34,Crimes Against the Person,Stonegate-Queensway
2022,Male,55 to 64,Other Criminal Code Violations,Kennedy Park
2018,Male,35 to 44,Crimes Against Property,The Beaches
2016,Male,<18,Other Criminal Code Violations,Clairlea-Birchmount
2020,Male,55 to 64,Crimes Against Property,West Queen West
2018,Male,25 to 34,Crimes Against the Person,Yorkdale-Glen Park
2022,Male,18 to 24,Other Criminal Code Violations,Humber Heights-Westmount
2015,Male,45 to 54,Crimes Against Property,Dufferin Grove
2022,Male,45 to 54,Controlled Drugs and Substances Act,Forest Hill North
2022,Male,45 to 54,Other Criminal Code Violations,Bendale-Glen Andrew
2015,Male,25 to 34,Controlled Drugs and Substances Act,West Rouge
2015,Male,<18,Other Criminal Code Violations,Thorncliffe Park
2014,Male,55 to 64,Criminal Code Traffic,Kennedy Park
2018,Male,35 to 44,Crimes Against the Person,Clairlea-Birchmount
2015,Female,18 to 24,Crimes Against the Person,St.Andrew-Windfields
2018,Female,45 to 54,Crimes Against Property,Downtown Yonge East
2014,Female,55 to 64,Crimes Against the Person,Malvern East
2016,Male,45 to 54,Other Criminal Code Violations,Thorncliffe Park
2017,Male,25 to 34,Other Criminal Code Violations,Eglinton East
2022,Male,25 to 34,Other Criminal Code Violations,Blake-Jones
2019,Male,25 to 34,Criminal Code Traffic,St.Andrew-Windfields
2015,Female,18 to 24,Crimes Against Property,York University Heights
2022,Female,25 to 34,Crimes Against the Person,Rosedale-Moore Park
2019,Male,55 to 64,Crimes Against the Person,Weston-Pelham Park
2020,Female,25 to 34,Controlled Drugs and Substances Act,Mimico-Queensway
2022,Male,55 to 64,Crimes Against the Person,Stonegate-Queensway
2015,Male,18 to 24,Crimes Against Property,Palmerston-Little Italy
2017,Male,45 to 54,Criminal Code Traffic,St Lawrence-East Bayfront-The Islands
2017,Male,45 to 54,Controlled Drugs and Substances Act,Kensington-Chinatown
2018,Male,45 to 54,Criminal Code Traffic,NSA
2015,Male,25 to 34,Other Criminal Code Violations,Kingsview Village-The Westway
2019,Male,<18,Crimes Against Property,O'Connor-Parkview
2014,Female,45 to 54,Crimes Against Property,Humewood-Cedarvale
2017,Male,35 to 44,Crimes Against Property,Forest Hill North
2018,Male,18 to 24,Crimes Against the Person,Yonge-Doris
2017,Female,25 to 34,Crimes Against Property,Bedford Park-Nortown
2019,Female,35 to 44,Crimes Against Property,Annex
2019,Male,65+,Crimes Against the Person,Malvern West
2015,Female,<18,Crimes Against the Person,Greenwood-Coxwell
2021,Male,45 to 54,Crimes Against the Person,Wellington Place
2018,Male,<18,Crimes Against the Person,Danforth
2018,Male,45 to 54,Crimes Against Property,Dufferin Grove
2019,Male,18 to 24,Crimes Against the Person,South Parkdale
2016,Male,55 to 64,Crimes Against the Person,Oakdale-Beverley Heights
2021,Male,35 to 44,Crimes Against the Person,Rockcliffe-Smythe
2018,Male,45 to 54,Crimes Against the Person,Weston-Pelham Park
2022,Female,45 to 54,Other Criminal Code Violations,Forest Hill North
2015,Female,35 to 44,Crimes Against Property,Golfdale-Cedarbrae-Woburn
2015,Male,35 to 44,Crimes Against Property,Yonge-Eglinton
2020,Male,18 to 24,Crimes Against Property,Flemingdon Park
2022,Female,35 to 44,Crimes Against the Person,Agincourt South-Malvern West
2021,Male,45 to 54,Other Criminal Code Violations,High Park-Swansea
2019,Female,35 to 44,Controlled Drugs and Substances Act,New Toronto
2017,Female,55 to 64,Other Criminal Code Violations,Leaside-Bennington
2020,Male,45 to 54,Crimes Against Property,Wellington Place
2022,Male,25 to 34,Crimes Against the Person,South Riverdale
2016,Male,25 to 34,Controlled Drugs and Substances Act,Fort York-Liberty Village
2014,Male,<18,Crimes Against Property,Runnymede-Bloor West Village
2019,Male,<18,Crimes Against the Person,Roncesvalles
2021,Male,18 to 24,Crimes Against the Person,Wellington Place
2017,Female,18 to 24,Controlled Drugs and Substances Act,Pelmo Park-Humberlea
2019,Male,18 to 24,Other Criminal Code Violations,Willowridge-Martingrove-Richview
2016,Male,45 to 54,Controlled Drugs and Substances Act,Dufferin Grove
2020,Male,<18,Other Criminal Code Violations,Beechborough-Greenbrook
2021,Male,35 to 44,Crimes Against the Person,Bayview Village
2016,Male,25 to 34,Crimes Against the Person,Forest Hill North
2021,Male,35 to 44,Other Criminal Code Violations,Dufferin Grove
2019,Male,<18,Crimes Against the Person,Mimico-Queensway
2022,Male,45 to 54,Crimes Against Property,Weston-Pelham Park
2022,Male,25 to 34,Crimes Against the Person,Bridle Path-Sunnybrook-York Mills
2014,Female,<18,Other Criminal Code Violations,Wychwood
2020,Male,25 to 34,Crimes Against Property,Yorkdale-Glen Park
2021,Female,18 to 24,Crimes Against Property,Victoria Village
2015,Female,25 to 34,Controlled Drugs and Substances Act,Golfdale-Cedarbrae-Woburn
2021,Male,18 to 24,Crimes Against the Person,Agincourt North
2020,Male,55 to 64,Other Criminal Code Violations,Westminster-Branson
2016,Male,35 to 44,Crimes Against Property,Agincourt South-Malvern West
2022,Male,35 to 44,Other Criminal Code Violations,Cliffcrest
2015,Female,55 to 64,Crimes Against Property,Pleasant View
2021,Male,25 to 34,Crimes Against the Person,Palmerston-Little Italy
2018,Male,35 to 44,Criminal Code Traffic,Alderwood
2017,Female,<18,Crimes Against Property,Kennedy Park
2017,Female,35 to 44,Crimes Against Property,Etobicoke City Centre
2016,Male,<18,Crimes Against the Person,Caledonia-Fairbank
2021,Male,35 to 44,Crimes Against the Person,St Lawrence-East Bayfront-The Islands
2021,Male,25 to 34,Controlled Drugs and Substances Act,Church-Wellesley
2016,Male,45 to 54,Other Criminal Code Violations,Dufferin Grove
2016,Male,45 to 54,Other Criminal Code Violations,Fort York-Liberty Village
2018,Male,35 to 44,Crimes Against the Person,Victoria Village
2018,Male,18 to 24,Crimes Against Property,Junction Area
2015,Male,35 to 44,Criminal Code Traffic,Bendale South
2014,Male,25 to 34,Criminal Code Traffic,East Willowdale
2022,Male,35 to 44,Crimes Against Property,Rustic
2015,Female,25 to 34,Crimes Against Property,Stonegate-Queensway
2014,Male,<18,Crimes Against the Person,Keelesdale-Eglinton West
2015,Male,45 to 54,Crimes Against the Person,Morningside
2016,Male,35 to 44,Crimes Against the Person,Oakdale-Beverley Heights
2019,Female,25 to 34,Other Criminal Code Violations,Kingsview Village-The Westway
2022,Female,<18,Crimes Against the Person,Long Branch
2020,Female,18 to 24,Crimes Against Property,Clanton Park
2017,Male,<18,Controlled Drugs and Substances Act,West Rouge
2022,Female,25 to 34,Crimes Against Property,Moss Park
2014,Male,18 to 24,Controlled Drugs and Substances Act,NSA
2015,Male,45 to 54,Crimes Against Property,Wellington Place
2018,Female,25 to 34,Crimes Against the Person,Oakridge
2021,Female,45 to 54,Crimes Against the Person,St Lawrence-East Bayfront-The Islands
2017,Male,<18,Crimes Against the Person,York University Heights
2015,Male,18 to 24,Crimes Against Property,Glenfield-Jane Heights
2015,Female,<18,Crimes Against Property,Bedford Park-Nortown
2019,Male,18 to 24,Other Criminal Code Violations,L'Amoreaux West
2019,Female,35 to 44,Other Criminal Code Violations,Danforth
2017,Female,45 to 54,Crimes Against the Person,Tam O'Shanter-Sullivan
2014,Male,55 to 64,Crimes Against Property,Etobicoke City Centre
2019,Female,35 to 44,Crimes Against Property,Yonge-Eglinton
2015,Female,45 to 54,Crimes Against Property,Willowridge-Martingrove-Richview
2022,Male,35 to 44,Crimes Against Property,East End-Danforth
2018,Male,65+,Crimes Against the Person,Birchcliffe-Cliffside
2022,Female,<18,Crimes Against the Person,Black Creek
2015,Male,18 to 24,Other Criminal Code Violations,Willowridge-Martingrove-Richview
2022,Male,55 to 64,Crimes Against Property,Clanton Park
2022,Male,25 to 34,Other Criminal Code Violations,Moss Park
2021,Male,25 to 34,Crimes Against Property,Trinity-Bellwoods
2015,Male,35 to 44,Controlled Drugs and Substances Act,Banbury-Don Mills
2020,Male,<18,Other Criminal Code Violations,Dorset Park
2014,Female,45 to 54,Crimes Against Property,Taylor-Massey
2018,Female,35 to 44,Crimes Against Property,Kensington-Chinatown
2014,Male,55 to 64,Other Criminal Code Violations,Rosedale-Moore Park
2022,Male,25 to 34,Crimes Against the Person,Palmerston-Little Italy
2022,Male,65+,Crimes Against Property,Casa Loma
2018,Male,45 to 54,Crimes Against the Person,Elms-Old Rexdale
2019,Male,<18,Other Criminal Code Violations,NSA
2020,Male,35 to 44,Crimes Against Property,Eglinton East
2022,Male,45 to 54,Crimes Against Property,Black Creek
2019,Female,25 to 34,Controlled Drugs and Substances Act,Dorset Park
2019,Female,35 to 44,Crimes Against Property,Rexdale-Kipling
2020,Male,55 to 64,Crimes Against Property,Willowdale West
2022,Female,18 to 24,Other Criminal Code Violations,Roncesvalles
2018,Male,25 to 34,Crimes Against Property,St Lawrence-East Bayfront-The Islands
2015,Male,18 to 24,Controlled Drugs and Substances Act,Golfdale-Cedarbrae-Woburn
2022,Male,55 to 64,Crimes Against Property,West Queen West
2021,Male,18 to 24,Crimes Against the Person,York University Heights
2015,Male,65+,Crimes Against Property,Humber Summit
2017,Female,25 to 34,Crimes Against Property,Wychwood
2018,Male,55 to 64,Crimes Against Property,Rosedale-Moore Park
2017,Male,18 to 24,Crimes Against Property,Pleasant View
2022,Female,65+,Other Criminal Code Violations,Leaside-Bennington
2019,Male,25 to 34,Controlled Drugs and Substances Act,Annex
2021,Female,35 to 44,Crimes Against Property,West Hill
2015,Male,55 to 64,Crimes Against Property,Brookhaven-Amesbury
2019,Female,18 to 24,Crimes Against Property,Junction-Wallace Emerson
2019,Male,35 to 44,Crimes Against Property,L'Amoreaux West
2015,Male,45 to 54,Other Criminal Code Violations,Rexdale-Kipling
2015,Male,35 to 44,Crimes Against Property,Victoria Village
2019,Male,<18,Crimes Against Property,Yorkdale-Glen Park
2021,Male,18 to 24,Other Criminal Code Violations,Lawrence Park North
2020,Male,25 to 34,Other Criminal Code Violations,Islington
2020,Male,<18,Other Criminal Code Violations,University
2017,Male,<18,Crimes Against Property,Cliffcrest
2019,Female,55 to 64,Crimes Against Property,Casa Loma
2016,Male,35 to 44,Crimes Against the Person,NSA
2016,Female,18 to 24,Crimes Against Property,Junction Area
2021,Male,35 to 44,Criminal Code Traffic,Oakwood Village
2017,Male,18 to 24,Other Criminal Code Violations,Downtown Yonge East
2020,Female,35 to 44,Crimes Against the Person,South Parkdale
2019,Male,25 to 34,Crimes Against the Person,Mount Olive-Silverstone-Jamestown
2014,Female,35 to 44,Crimes Against Property,Markland Wood
2015,Male,35 to 44,Crimes Against Property,Kennedy Park
2017,Male,55 to 64,Other Criminal Code Violations,Rosedale-Moore Park
2018,Female,35 to 44,Crimes Against Property,Kingsway South
2018,Male,35 to 44,Crimes Against the Person,North Riverdale
2019,Male,<18,Controlled Drugs and Substances Act,Dorset Park
2016,Female,25 to 34,Controlled Drugs and Substances Act,Eglinton East
2017,Male,35 to 44,Crimes Against the Person,Morningside Heights
2018,Female,<18,Crimes Against Property,Malvern East
2017,Male,35 to 44,Controlled Drugs and Substances Act,Woburn North
2016,Female,<18,Crimes Against Property,Clairlea-Birchmount
2019,Male,45 to 54,Criminal Code Traffic,East L'Amoreaux
2015,Male,<18,Controlled Drugs and Substances Act,Mount Dennis
2021,Male,55 to 64,Crimes Against Property,Englemount-Lawrence
2019,Male,55 to 64,Other Criminal Code Violations,Birchcliffe-Cliffside
2015,Male,35 to 44,Criminal Code Traffic,Kennedy Park
2018,Male,25 to 34,Other Criminal Code Violations,Long Branch
2016,Female,25 to 34,Other Criminal Code Violations,NSA
2014,Male,25 to 34,Other Criminal Code Violations,Glenfield-Jane Heights
2017,Male,25 to 34,Other Criminal Code Violations,Willowridge-Martingrove-Richview
2022,Female,25 to 34,Other Criminal Code Violations,Oakwood Village
2016,Male,25 to 34,Crimes Against the Person,Rexdale-Kipling
2022,Male,45 to 54,Crimes Against the Person,Yonge-Bay Corridor
2014,Male,18 to 24,Crimes Against the Person,Greenwood-Coxwell
