arrest_year,sex,age_cohort,category,neighbourhood
2015,Male,65+,Other Criminal Code Violations,Stonegate-Queensway
2016,Male,18 to 24,Criminal Code Traffic,Moss Park
2016,Male,25 to 34,Controlled Drugs and Substances Act,Woburn North
2021,Male,25 to 34,Controlled Drugs and Substances Act,Clairlea-Birchmount
2020,Male,18 to 24,Crimes Against Property,West Hill
2020,Male,<18,Crimes Against Property,South Eglinton-Davisville
2021,Male,35 to 44,Other Criminal Code Violations,Cliffcrest
2016,Male,25 to 34,Crimes Against the Person,Little Portugal
2018,Male,55 to 64,Crimes Against the Person,Ionview
2015,Female,25 to 34,Crimes Against Property,Annex
2022,Male,25 to 34,Criminal Code Traffic,North Toronto
2018,Male,25 to 34,Other Criminal Code Violations,Humber Bay Shores
2018,Male,65+,Criminal Code Traffic,Trinity-Bellwoods
2017,Female,18 to 24,Controlled Drugs and Substances Act,Flemingdon Park
2022,Male,45 to 54,Crimes Against Property,Islington
2014,Female,45 to 54,Other Criminal Code Violations,Weston
2022,Female,35 to 44,Crimes Against the Person,Oakwood Village
2015,Male,18 to 24,Other Criminal Code Violations,Oakwood Village
2016,Male,55 to 64,Crimes Against the Person,Blake-Jones
2018,Male,25 to 34,Other Criminal Code Violations,South Riverdale
2015,Male,45 to 54,Other Criminal Code Violations,Little Portugal
2020,Male,25 to 34,Controlled Drugs and Substances Act,Rockcliffe-Smythe
2018,Male,18 to 24,Crimes Against Property,North Riverdale
2016,Male,18 to 24,Criminal Code Traffic,Bendale South
2016,Male,65+,Criminal Code Traffic,Caledonia-Fairbank
2015,Male,25 to 34,Crimes Against Property,Thistletown-Beaumond Heights
2019,Male,18 to 24,Crimes Against the Person,Junction-Wallace Emerson
2014,Female,35 to 44,Other Criminal Code Violations,St Lawrence-East Bayfront-The Islands
2020,Male,45 to 54,Crimes Against the Person,Broadview North
2016,Female,45 to 54,Crimes Against the Person,Rockcliffe-Smythe
2020,Male,18 to 24,Other Criminal Code Violations,Palmerston-Little Italy
2021,Male,35 to 44,Controlled Drugs and Substances Act,Malvern West
2016,Male,18 to 24,Crimes Against the Person,Rockcliffe-Smythe
2014,Male,65+,Crimes Against the Person,Scarborough Village
2015,Male,35 to 44,Controlled Drugs and Substances Act,Roncesvalles
2017,Female,25 to 34,Crimes Against the Person,Stonegate-Queensway
2019,Female,<18,Crimes Against the Person,Yorkdale-Glen Park
2020,Male,18 to 24,Crimes Against Property,Morningside Heights
2018,Female,18 to 24,Crimes Against the Person,Morningside
2022,Male,35 to 44,Crimes Against the Person,Downsview
2016,Male,25 to 34,Criminal Code Traffic,Eglinton East
2022,Male,25 to 34,Other Criminal Code Violations,Weston-Pelham Park
2022,Male,<18,Crimes Against the Person,Moss Park
2018,Male,18 to 24,Crimes Against Property,Regent Park
2016,Male,<18,Controlled Drugs and Substances Act,York University Heights
2022,Female,25 to 34,Crimes Against Property,York University Heights
2021,Male,18 to 24,Crimes Against the Person,High Park North
2015,Male,35 to 44,Criminal Code Traffic,Humbermede
2017,Male,55 to 64,Crimes Against Property,NSA
2020,Male,35 to 44,Controlled Drugs and Substances Act,Morningside
2015,Female,45 to 54,Crimes Against Property,New Toronto
2020,Male,25 to 34,Other Criminal Code Violations,Yonge-Eglinton
2019,Male,18 to 24,Other Criminal Code Violations,Avondale
2022,Male,<18,Crimes Against the Person,Mount Dennis
2017,Female,18 to 24,Other Criminal Code Violations,Beechborough-Greenbrook
2022,Male,25 to 34,Crimes Against Property,High Park-Swansea
2019,Male,25 to 34,Other Criminal Code Violations,Yonge-Bay Corridor
2020,Male,<18,Crimes Against Property,Guildwood
2014,Male,35 to 44,Criminal Code Traffic,Clairlea-Birchmount
2022,Female,25 to 34,Crimes Against the Person,University
2015,Female,55 to 64,Crimes Against Property,Downsview
2018,Male,45 to 54,Crimes Against Property,South Eglinton-Davisville
2014,Female,65+,Crimes Against Property,Beechborough-Greenbrook
2021,Female,45 to 54,Crimes Against Property,Oakdale-Beverley Heights
2020,Male,35 to 44,Crimes Against the Person,Thistletown-Beaumond Heights
2016,Male,35 to 44,Crimes Against Property,Danforth East York
2021,Male,35 to 44,Other Criminal Code Violations,Little Portugal
2016,Male,35 to 44,Crimes Against Property,St Lawrence-East Bayfront-The Islands
2021,Female,18 to 24,Crimes Against the Person,Humewood-Cedarvale
2019,Male,25 to 34,Controlled Drugs and Substances Act,Pelmo Park-Humberlea
2017,Male,35 to 44,Controlled Drugs and Substances Act,Keelesdale-Eglinton West
2022,Female,35 to 44,Crimes Against the Person,University
2018,Male,25 to 34,Controlled Drugs and Substances Act,Humewood-Cedarvale
