_id,ARREST_YEAR,DIVISION,HOOD_158,NEIGHBOURHOOD_158,SEX,AGE_COHORT,AGE_GROUP,CATEGORY,SUBTYPE,ARREST_COUNT
7269,2022,D13,107,Oakwood Village (107),Female,25 to 34,Adult,Other Criminal Code Violations,Other,1
7270,2016,D23,4,Rexdale-Kipling (4),Male,25 to 34,Adult,Crimes Against the Person,Sexual Violations,1
7271,2022,D52,170,Yonge-Bay Corridor (170),Male,45 to 54,Adult,Crimes Against the Person,Sexual Violations,2
7272,2014,D55,65,Greenwood-Coxwell (65),Male,18 to 24,Adult,Crimes Against the Person,Other,6
7273,2015,D52,78,Kensington-Chinatown (78),Female,18 to 24,Adult,Crimes Against Property,Other,1
7274,2014,D51,71,Cabbagetown-South St.James Town (71),Female,55 to 64,Adult,Crimes Against the Person,Assaults,1
7275,2020,D22,158,Islington (158),Male,45 to 54,Adult,Other Criminal Code Violations,Other,1
7276,2016,D32,50,Newtonbrook East (50),Male,55 to 64,Adult,Crimes Against the Person,Assaults,1
7277,2017,D12,111,Rockcliffe-Smythe (111),Male,18 to 24,Adult,Other Criminal Code Violations,Other,11
7278,2017,D12,29,Maple Leaf (29),Male,35 to 44,Adult,Crimes Against Property,Other,2
7279,2016,D51,71,Cabbagetown-South St.James Town (71),Female,18 to 24,Adult,Crimes Against Property,Other,1
7280,2014,D51,71,Cabbagetown-South St.James Town (71),Male,35 to 44,Adult,Crimes Against Property,Theft Under $5000,12
7281,2014,D55,59,Danforth East York (59),Male,65+,Adult,Crimes Against the Person,Other,1
7282,2014,D55,54,O'Connor-Parkview (54),Male,25 to 34,Adult,Crimes Against the Person,Firearm-Related,3
7283,2020,D14,162,West Queen West (162),Male,18 to 24,Adult,Crimes Against the Person,Assaults,5
7284,2019,D42,129,Agincourt North (129),Male,25 to 34,Adult,Crimes Against the Person,Sexual Violations,3
7285,2015,D51,72,Regent Park (72),Male,18 to 24,Adult,Crimes Against the Person,Robbery,1
7286,2017,D12,112,Beechborough-Greenbrook (112),Male,35 to 44,Adult,Crimes Against the Person,Other,2
7287,2019,D52,78,Kensington-Chinatown (78),Female,25 to 34,Adult,Crimes Against Property,Other,4
7288,2022,D41,125,Ionview (125),Male,35 to 44,Adult,Crimes Against the Person,Attempted Murder,1
7289,2017,D14,95,Annex (95),Male,18 to 24,Adult,Crimes Against the Person,Other,2
7290,2019,D43,123,Cliffcrest (123),Female,45 to 54,Adult,Other Criminal Code Violations,Other,1
7291,2016,D12,110,Keelesdale-Eglinton West (110),Male,65+,Adult,Crimes Against the Person,Other,1
7292,2022,D53,173,North Toronto (173),Male,35 to 44,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,3
7293,2016,D22,160,Mimico-Queensway (160),Female,45 to 54,Adult,Crimes Against the Person,Assaults,2
7294,2016,D33,150,Fenside-Parkwoods (150),Male,55 to 64,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,1
7295,2021,D12,113,Weston (113),Male,55 to 64,Adult,Crimes Against the Person,Assaults,9
7296,2020,D31,155,Downsview (155),Male,25 to 34,Adult,Crimes Against the Person,Other,2
7297,2020,D23,1,West Humber-Clairville (1),Male,35 to 44,Adult,Controlled Drugs and Substances Act,Other,7
7298,2015,D11,171,Junction-Wallace Emerson (171),Female,25 to 34,Adult,Crimes Against Property,Theft Under $5000,4
7299,2014,D43,138,Eglinton East (138),Male,<18,Youth,Crimes Against Property,Theft Under $5000,3
7300,2021,D32,36,Newtonbrook West (36),Male,35 to 44,Adult,Crimes Against Property,Other,7
7301,2020,D52,168,Downtown Yonge East (168),Male,18 to 24,Adult,Other Criminal Code Violations,Other,2
7302,2019,D51,73,Moss Park (73),Male,45 to 54,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,9
7303,2019,D52,170,Yonge-Bay Corridor (170),Male,35 to 44,Adult,Crimes Against the Person,Other,13
7304,2016,D52,164,Wellington Place (164),Male,25 to 34,Adult,Criminal Code Traffic,Fail to Remain,2
7305,2016,D55,43,Victoria Village (43),Male,25 to 34,Adult,Crimes Against the Person,Assaults,8
7306,2017,D23,1,West Humber-Clairville (1),Male,18 to 24,Adult,Crimes Against the Person,Sexual Violations,5
7307,2018,D43,133,Centennial Scarborough (133),Female,18 to 24,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,2
7308,2015,D52,NSA,NSA,Male,<18,Youth,Crimes Against the Person,Sexual Violations,1
7309,2019,D22,12,Markland Wood (12),Male,55 to 64,Adult,Crimes Against the Person,Other,2
7310,2019,D52,170,Yonge-Bay Corridor (170),Male,25 to 34,Adult,Crimes Against the Person,Sexual Violations,8
7311,2021,D41,124,Kennedy Park (124),Male,35 to 44,Adult,Crimes Against the Person,Other,1
7312,2017,D23,6,Kingsview Village-The Westway (6),Female,25 to 34,Adult,Crimes Against the Person,Assaults,3
7313,2017,D32,37,Willowdale West (37),Male,18 to 24,Adult,Crimes Against Property,Other,6
7314,2021,D43,123,Cliffcrest (123),Male,<18,Youth,Crimes Against the Person,Other,1
7315,2014,D55,67,Playter Estates-Danforth (67),Male,25 to 34,Adult,Crimes Against Property,Break and Enter,2
7316,2015,D53,100,Yonge-Eglinton (100),Female,35 to 44,Adult,Crimes Against Property,Theft Under $5000,3
7317,2021,D42,128,Agincourt South-Malvern West (128),Male,35 to 44,Adult,Crimes Against Property,Other,5
7318,2018,D51,168,Downtown Yonge East (168),Male,18 to 24,Adult,Crimes Against Property,Other,45
7319,2019,D55,67,Playter Estates-Danforth (67),Female,25 to 34,Adult,Other Criminal Code Violations,Other,6
7320,2022,D22,11,Eringate-Centennial-West Deane (11),Male,65+,Adult,Crimes Against the Person,Assaults,1
7321,2017,D42,116,Steeles (116),Male,45 to 54,Adult,Criminal Code Traffic,Drive While Disqualified,2
7322,2014,D32,50,Newtonbrook East (50),Female,45 to 54,Adult,Crimes Against the Person,Other,1
7323,2020,D11,83,Dufferin Grove (83),Male,18 to 24,Adult,Crimes Against Property,Other,4
7324,2018,D41,119,Wexford/Maryvale (119),Male,55 to 64,Adult,Crimes Against Property,Fraud,1
7325,2021,D52,78,Kensington-Chinatown (78),Male,<18,Youth,Crimes Against the Person,Other,1
7326,2017,D12,110,Keelesdale-Eglinton West (110),Female,35 to 44,Adult,Crimes Against Property,Other,1
7327,2019,D51,72,Regent Park (72),Female,25 to 34,Adult,Crimes Against the Person,Robbery,1
7328,2017,D55,63,The Beaches (63),Male,18 to 24,Adult,Crimes Against the Person,Other,4
7329,2015,D13,108,Briar Hill-Belgravia (108),Female,<18,Youth,Crimes Against Property,Theft Under $5000,1
7330,2021,D32,35,Westminster-Branson (35),Male,55 to 64,Adult,Crimes Against Property,Theft Over $5000,1
7331,2017,D11,171,Junction-Wallace Emerson (171),Male,65+,Adult,Crimes Against Property,Other,2
7332,2014,D32,37,Willowdale West (37),Female,65+,Adult,Crimes Against Property,Theft Under $5000,1
7333,2016,D14,78,Kensington-Chinatown (78),Male,35 to 44,Adult,Crimes Against Property,Break and Enter,2
7334,2018,D42,130,Milliken (130),Male,35 to 44,Adult,Crimes Against Property,Fraud,3
7335,2019,D11,111,Rockcliffe-Smythe (111),Female,25 to 34,Adult,Crimes Against Property,Theft Under $5000,3
7336,2017,D33,119,Wexford/Maryvale (119),Male,18 to 24,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
7337,2022,D55,62,East End-Danforth (62),Male,35 to 44,Adult,Crimes Against Property,Break and Enter,6
7338,2015,D23,2,Mount Olive-Silverstone-Jamestown (2),Male,35 to 44,Adult,Criminal Code Traffic,Refuse Sample,1
7339,2016,D22,158,Islington (158),Female,18 to 24,Adult,Crimes Against Property,Other,1
7340,2015,D31,22,Humbermede (22),Male,18 to 24,Adult,Crimes Against Property,Break and Enter,2
7341,2014,D43,140,Guildwood (140),Female,18 to 24,Adult,Crimes Against the Person,Assaults,2
7342,2020,D55,61,Taylor-Massey (61),Female,25 to 34,Adult,Crimes Against the Person,Assaults,4
7343,2017,D22,160,Mimico-Queensway (160),Female,35 to 44,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,2
7344,2015,D43,156,Bendale-Glen Andrew (156),Female,18 to 24,Adult,Crimes Against the Person,Other,2
7345,2014,D43,141,Golfdale-Cedarbrae-Woburn (141),Male,35 to 44,Adult,Crimes Against Property,Other,5
7346,2015,D22,159,Etobicoke City Centre (159),Male,25 to 34,Adult,Crimes Against the Person,Assaults,24
7347,2016,D22,19,Long Branch (19),Female,45 to 54,Adult,Crimes Against Property,Other,1
7348,2017,D55,63,The Beaches (63),Male,25 to 34,Adult,Criminal Code Traffic,Fail to Remain,1
7349,2020,D43,136,West Hill (136),Male,25 to 34,Adult,Crimes Against the Person,Firearm-Related,2
7350,2021,D33,53,Henry Farm (53),Male,35 to 44,Adult,Crimes Against Property,Theft Under $5000,1
7351,2021,D43,142,Woburn North (142),Male,55 to 64,Adult,Crimes Against the Person,Other,5
7352,2021,D31,24,Black Creek (24),Male,<18,Youth,Crimes Against the Person,Assaults,1
7353,2017,D12,28,Rustic (28),Male,45 to 54,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,2
7354,2015,D31,21,Humber Summit (21),Female,35 to 44,Adult,Crimes Against the Person,Assaults,1
7355,2018,D22,158,Islington (158),Male,25 to 34,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,3
7356,2017,D52,166,St Lawrence-East Bayfront-The Islands (166),Female,25 to 34,Adult,Crimes Against Property,Theft Under $5000,1
7357,2020,D55,70,South Riverdale (70),Female,25 to 34,Adult,Criminal Code Traffic,Refuse Sample,1
7358,2018,D22,18,New Toronto (18),Male,18 to 24,Adult,Crimes Against the Person,Sexual Violations,1
7359,2017,D55,69,Blake-Jones (69),Male,65+,Adult,Crimes Against the Person,Assaults,3
7360,2017,D43,138,Eglinton East (138),Male,18 to 24,Adult,Crimes Against Property,Theft Under $5000,2
7361,2014,D11,87,High Park-Swansea (87),Male,35 to 44,Adult,Crimes Against the Person,Assaults,6
7362,2022,D23,4,Rexdale-Kipling (4),Male,45 to 54,Adult,Crimes Against the Person,Other,3
7363,2022,D55,44,Flemingdon Park (44),Male,<18,Youth,Crimes Against the Person,Sexual Violations,3
7364,2022,D33,53,Henry Farm (53),Male,35 to 44,Adult,Crimes Against the Person,Robbery,1
7365,2020,D13,109,Caledonia-Fairbank (109),Male,35 to 44,Adult,Crimes Against the Person,Assaults,5
7366,2015,D43,138,Eglinton East (138),Female,35 to 44,Adult,Crimes Against the Person,Assaults,6
7367,2022,D13,107,Oakwood Village (107),Male,25 to 34,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,3
7368,2019,D31,154,Oakdale-Beverley Heights (154),Female,25 to 34,Adult,Crimes Against the Person,Other,2
7369,2022,D31,155,Downsview (155),Male,25 to 34,Adult,Crimes Against the Person,Sexual Violations,1
7370,2022,D12,113,Weston (113),Male,<18,Youth,Crimes Against the Person,Robbery,3
7371,2018,D32,151,Yonge-Doris (151),Male,<18,Youth,Crimes Against the Person,Assaults,2
7372,2015,D52,166,St Lawrence-East Bayfront-The Islands (166),Male,45 to 54,Adult,Controlled Drugs and Substances Act,Other,1
7373,2016,D51,73,Moss Park (73),Female,<18,Youth,Crimes Against Property,Other,2
7374,2019,D51,167,Church-Wellesley (167),Female,<18,Youth,Crimes Against Property,Theft Under $5000,3
7375,2022,D32,36,Newtonbrook West (36),Male,<18,Youth,Crimes Against Property,Theft Under $5000,1
7376,2019,D53,41,Bridle Path-Sunnybrook-York Mills (41),Male,25 to 34,Adult,Crimes Against the Person,Assaults,1
7377,2015,D14,79,University (79),Male,18 to 24,Adult,Crimes Against the Person,Robbery,6
7378,2021,D32,31,Yorkdale-Glen Park (31),Male,25 to 34,Adult,Other Criminal Code Violations,Firearm-Related,3
7379,2016,D22,16,Stonegate-Queensway (16),Female,35 to 44,Adult,Crimes Against the Person,Other,1
7380,2022,D23,5,Elms-Old Rexdale (5),Male,35 to 44,Adult,Other Criminal Code Violations,Other,7
7381,2014,D14,163,Fort York-Liberty Village (163),Male,25 to 34,Adult,Crimes Against Property,Fraud,1
7382,2018,D41,NSA,NSA,Female,35 to 44,Adult,Crimes Against Property,Other,1
7383,2018,D51,168,Downtown Yonge East (168),Male,45 to 54,Adult,Crimes Against the Person,Other,3
7384,2022,D41,126,Dorset Park (126),Male,65+,Adult,Crimes Against the Person,Assaults,2
7385,2015,D12,113,Weston (113),Female,25 to 34,Adult,Crimes Against the Person,Assaults,4
7386,2015,D23,7,Willowridge-Martingrove-Richview (7),Male,<18,Youth,Crimes Against the Person,Robbery,4
7387,2016,D53,100,Yonge-Eglinton (100),Female,25 to 34,Adult,Other Criminal Code Violations,Other,1
7388,2018,D14,78,Kensington-Chinatown (78),Female,35 to 44,Adult,Criminal Code Traffic,Fail to Remain,2
7389,2017,D23,1,West Humber-Clairville (1),Male,18 to 24,Adult,Crimes Against the Person,Attempted Murder,1
7390,2014,D11,91,Weston-Pelham Park (91),Female,<18,Youth,Crimes Against Property,Other,1
7391,2018,D53,173,North Toronto (173),Male,45 to 54,Adult,Crimes Against the Person,Assaults,2
7392,2014,D23,5,Elms-Old Rexdale (5),Female,25 to 34,Adult,Crimes Against the Person,Other,1
7393,2022,D12,30,Brookhaven-Amesbury (30),Male,<18,Youth,Crimes Against Property,Other,1
7394,2019,D22,11,Eringate-Centennial-West Deane (11),Male,<18,Youth,Controlled Drugs and Substances Act,Other,3
7395,2014,D41,126,Dorset Park (126),Male,18 to 24,Adult,Crimes Against Property,Break and Enter,7
7396,2019,D52,78,Kensington-Chinatown (78),Male,18 to 24,Adult,Controlled Drugs and Substances Act,Other,1
7397,2015,D55,64,Woodbine Corridor (64),Male,55 to 64,Adult,Crimes Against the Person,Other,2
7398,2022,D23,2,Mount Olive-Silverstone-Jamestown (2),Unknown,45 to 54,Adult,Crimes Against the Person,Assaults,1
7399,2022,D43,141,Golfdale-Cedarbrae-Woburn (141),Male,25 to 34,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
7400,2018,D43,NSA,NSA,Male,18 to 24,Adult,Crimes Against the Person,Other,2
7401,2017,D55,61,Taylor-Massey (61),Male,<18,Youth,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
7402,2017,D11,NSA,NSA,Male,45 to 54,Adult,Crimes Against Property,Theft Under $5000,1
7403,2017,D42,143,West Rouge (143),Male,18 to 24,Adult,Crimes Against Property,Other,2
7404,2018,D51,72,Regent Park (72),Male,18 to 24,Adult,Other Criminal Code Violations,Firearm-Related,2
7405,2018,D41,119,Wexford/Maryvale (119),Female,35 to 44,Adult,Crimes Against Property,Other,3
7406,2019,D41,126,Dorset Park (126),Male,65+,Adult,Crimes Against the Person,Assaults,1
7407,2017,D53,98,Rosedale-Moore Park (98),Male,25 to 34,Adult,Crimes Against the Person,Assaults,7
7408,2019,D22,10,Princess-Rosethorn (10),Male,18 to 24,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
7409,2020,D53,174,South Eglinton-Davisville (174),Male,35 to 44,Adult,Crimes Against Property,Other,6
7410,2017,D13,107,Oakwood Village (107),Male,18 to 24,Adult,Crimes Against the Person,Other,2
7411,2016,D14,163,Fort York-Liberty Village (163),Male,35 to 44,Adult,Crimes Against Property,Break and Enter,1
7412,2018,D52,165,Harbourfront-CityPlace (165),Male,18 to 24,Adult,Crimes Against Property,Other,3
7413,2015,D31,25,Glenfield-Jane Heights (25),Female,18 to 24,Adult,Crimes Against Property,Theft Under $5000,3
7414,2015,D11,91,Weston-Pelham Park (91),Male,18 to 24,Adult,Crimes Against Property,Other,6
7415,2018,D42,147,L'Amoreaux West (147),Female,25 to 34,Adult,Other Criminal Code Violations,Other,2
7416,2017,D42,129,Agincourt North (129),Female,35 to 44,Adult,Controlled Drugs and Substances Act,Other,1
7417,2019,D51,71,Cabbagetown-South St.James Town (71),Male,18 to 24,Adult,Crimes Against the Person,Firearm-Related,3
7418,2019,D22,160,Mimico-Queensway (160),Male,18 to 24,Adult,Controlled Drugs and Substances Act,Other,4
7419,2015,D11,86,Roncesvalles (86),Male,55 to 64,Adult,Crimes Against the Person,Sexual Violations,2
7420,2021,D13,94,Wychwood (94),Female,25 to 34,Adult,Crimes Against the Person,Other,1
7421,2014,D14,163,Fort York-Liberty Village (163),Female,35 to 44,Adult,Crimes Against Property,Break and Enter,1
7422,2019,D14,84,Little Portugal (84),Male,65+,Adult,Crimes Against Property,Break and Enter,1
7423,2022,D51,74,North St.James Town (74),Male,25 to 34,Adult,Crimes Against the Person,Sexual Violations,4
7424,2020,D22,18,New Toronto (18),Male,35 to 44,Adult,Crimes Against Property,Other,13
7425,2014,D42,128,Agincourt South-Malvern West (128),Male,25 to 34,Adult,Other Criminal Code Violations,Other,16
7426,2021,D14,85,South Parkdale (85),Male,35 to 44,Adult,Controlled Drugs and Substances Act,Other,8
7427,2018,D33,42,Banbury-Don Mills (42),Male,25 to 34,Adult,Crimes Against the Person,Assaults,4
7428,2019,D51,74,North St.James Town (74),Male,35 to 44,Adult,Crimes Against Property,Theft Under $5000,3
7429,2016,D41,138,Eglinton East (138),Male,18 to 24,Adult,Controlled Drugs and Substances Act,Other,1
7430,2020,D32,32,Englemount-Lawrence (32),Male,25 to 34,Adult,Crimes Against the Person,Firearm-Related,1
7431,2016,D55,65,Greenwood-Coxwell (65),Male,25 to 34,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,3
7432,2015,D22,16,Stonegate-Queensway (16),Female,18 to 24,Adult,Crimes Against the Person,Assaults,1
7433,2015,D12,111,Rockcliffe-Smythe (111),Male,25 to 34,Adult,Crimes Against the Person,Assaults,6
7434,2014,D41,120,Clairlea-Birchmount (120),Male,<18,Youth,Crimes Against the Person,Assaults,8
7435,2021,D14,165,Harbourfront-CityPlace (165),Female,18 to 24,Adult,Crimes Against the Person,Assaults,3
7436,2020,D12,29,Maple Leaf (29),Male,35 to 44,Adult,Other Criminal Code Violations,Firearm-Related,1
7437,2015,D41,123,Cliffcrest (123),Male,<18,Youth,Crimes Against the Person,Robbery,7
7438,2015,D51,72,Regent Park (72),Male,25 to 34,Adult,Criminal Code Traffic,Drive While Disqualified,1
7439,2016,D55,66,Danforth (66),Male,25 to 34,Adult,Crimes Against the Person,Other,3
7440,2020,D51,167,Church-Wellesley (167),Female,<18,Youth,Crimes Against Property,Theft Over $5000,2
7441,2020,D51,168,Downtown Yonge East (168),Male,35 to 44,Adult,Other Criminal Code Violations,Other,51
7442,2015,D11,90,Junction Area (90),Male,55 to 64,Adult,Controlled Drugs and Substances Act,Other,1
7443,2014,D12,29,Maple Leaf (29),Male,45 to 54,Adult,Crimes Against the Person,Assaults,2
7444,2018,D11,86,Roncesvalles (86),Male,35 to 44,Adult,Crimes Against the Person,Other,4
7445,2022,D11,88,High Park North (88),Female,55 to 64,Adult,Other Criminal Code Violations,Other,1
7446,2021,D14,163,Fort York-Liberty Village (163),Male,25 to 34,Adult,Crimes Against the Person,Other,7
7447,2016,D42,143,West Rouge (143),Female,18 to 24,Adult,Crimes Against Property,Other,1
7448,2015,D22,19,Long Branch (19),Male,55 to 64,Adult,Crimes Against the Person,Other,1
7449,2016,D11,86,Roncesvalles (86),Male,<18,Youth,Crimes Against the Person,Assaults,2
7450,2021,D11,84,Little Portugal (84),Female,65+,Adult,Controlled Drugs and Substances Act,Other,1
7451,2019,D51,168,Downtown Yonge East (168),Male,25 to 34,Adult,Other Criminal Code Violations,Firearm-Related,5
7452,2017,D33,47,Don Valley Village (47),Female,<18,Youth,Crimes Against Property,Other,2
7453,2015,D33,52,Bayview Village (52),Female,18 to 24,Adult,Crimes Against Property,Other,3
7454,2022,D14,172,Dovercourt Village (172),Male,18 to 24,Adult,Crimes Against the Person,Robbery,1
7455,2017,D13,94,Wychwood (94),Male,65+,Adult,Crimes Against Property,Theft Under $5000,1
7456,2018,D22,10,Princess-Rosethorn (10),Male,55 to 64,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
7457,2018,D11,91,Weston-Pelham Park (91),Male,45 to 54,Adult,Crimes Against Property,Other,2
7458,2019,D42,118,Tam O'Shanter-Sullivan (118),Male,25 to 34,Adult,Crimes Against Property,Other,6
7459,2017,D33,52,Bayview Village (52),Male,35 to 44,Adult,Other Criminal Code Violations,Other,1
7460,2016,D14,78,Kensington-Chinatown (78),Male,<18,Youth,Criminal Code Traffic,Other,1
7461,2014,D31,27,York University Heights (27),Male,35 to 44,Adult,Criminal Code Traffic,Refuse Sample,2
7462,2018,D52,78,Kensington-Chinatown (78),Female,55 to 64,Adult,Crimes Against the Person,Assaults,2
7463,2020,D32,151,Yonge-Doris (151),Female,45 to 54,Adult,Crimes Against Property,Theft Under $5000,2
7464,2019,D55,69,Blake-Jones (69),Female,25 to 34,Adult,Other Criminal Code Violations,Other,2
7465,2014,D13,107,Oakwood Village (107),Male,55 to 64,Adult,Other Criminal Code Violations,Other,7
7466,2022,D31,21,Humber Summit (21),Male,25 to 34,Adult,Crimes Against Property,Break and Enter,2
7467,2018,D23,7,Willowridge-Martingrove-Richview (7),Male,25 to 34,Adult,Controlled Drugs and Substances Act,Other,3
7468,2016,D32,36,Newtonbrook West (36),Male,35 to 44,Adult,Crimes Against the Person,Assaults,7
7469,2021,D14,85,South Parkdale (85),Male,35 to 44,Adult,Crimes Against Property,Other,13
7470,2019,D22,158,Islington (158),Female,45 to 54,Adult,Crimes Against Property,Theft Under $5000,2
7471,2015,D31,25,Glenfield-Jane Heights (25),Male,18 to 24,Adult,Crimes Against the Person,Other,6
7472,2019,D14,84,Little Portugal (84),Male,35 to 44,Adult,Crimes Against Property,Theft Under $5000,2
7473,2017,D53,101,Forest Hill South (101),Male,35 to 44,Adult,Crimes Against the Person,Assaults,2
7474,2019,D23,3,Thistletown-Beaumond Heights (3),Male,35 to 44,Adult,Crimes Against the Person,Sexual Violations,2
7475,2015,D43,134,Highland Creek (134),Male,55 to 64,Adult,Controlled Drugs and Substances Act,Other,1
7476,2021,D23,6,Kingsview Village-The Westway (6),Male,25 to 34,Adult,Crimes Against the Person,Other,4
7477,2022,D31,25,Glenfield-Jane Heights (25),Male,<18,Youth,Controlled Drugs and Substances Act,Other,1
7478,2018,D13,106,Humewood-Cedarvale (106),Male,18 to 24,Adult,Crimes Against the Person,Assaults,6
7479,2014,D55,59,Danforth East York (59),Male,35 to 44,Adult,Controlled Drugs and Substances Act,Other,1
7480,2020,D11,114,Lambton Baby Point (114),Male,45 to 54,Adult,Crimes Against the Person,Assaults,1
7481,2022,D12,90,Junction Area (90),Male,55 to 64,Adult,Crimes Against Property,Other,2
7482,2021,D13,107,Oakwood Village (107),Male,55 to 64,Adult,Crimes Against Property,Break and Enter,2
7483,2017,D43,136,West Hill (136),Male,<18,Youth,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,5
7484,2017,D41,126,Dorset Park (126),Male,25 to 34,Adult,Crimes Against the Person,Assaults,17
7485,2016,D55,58,Old East York (58),Male,18 to 24,Adult,Crimes Against Property,Other,3
7486,2015,D51,168,Downtown Yonge East (168),Male,25 to 34,Adult,Crimes Against the Person,Assaults,33
7487,2021,D55,44,Flemingdon Park (44),Female,25 to 34,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
7488,2019,D33,49,Bayview Woods-Steeles (49),Male,18 to 24,Adult,Crimes Against the Person,Other,2
7489,2021,D22,11,Eringate-Centennial-West Deane (11),Male,45 to 54,Adult,Crimes Against the Person,Sexual Violations,2
7490,2016,D14,172,Dovercourt Village (172),Male,18 to 24,Adult,Other Criminal Code Violations,Other,2
7491,2022,D13,92,Corso Italia-Davenport (92),Male,55 to 64,Adult,Crimes Against Property,Other,1
7492,2017,D41,122,Birchcliffe-Cliffside (122),Male,55 to 64,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,2
7493,2015,D11,90,Junction Area (90),Male,55 to 64,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,2
7494,2017,D31,22,Humbermede (22),Female,18 to 24,Adult,Crimes Against the Person,Assaults,2
7495,2020,D55,70,South Riverdale (70),Male,65+,Adult,Crimes Against the Person,Assaults,2
7496,2017,D11,89,Runnymede-Bloor West Village (89),Female,45 to 54,Adult,Crimes Against the Person,Other,1
7497,2020,D33,43,Victoria Village (43),Male,65+,Adult,Crimes Against the Person,Other,1
7498,2022,D53,98,Rosedale-Moore Park (98),Male,<18,Youth,Crimes Against the Person,Sexual Violations,1
7499,2018,D22,18,New Toronto (18),Male,35 to 44,Adult,Other Criminal Code Violations,Firearm-Related,1
7500,2018,D41,121,Oakridge (121),Male,18 to 24,Adult,Crimes Against Property,Other,12
7501,2015,D31,25,Glenfield-Jane Heights (25),Male,<18,Youth,Criminal Code Traffic,Drive While Impaired / Over 80,1
7502,2022,D22,159,Etobicoke City Centre (159),Male,18 to 24,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,6
7503,2016,D11,87,High Park-Swansea (87),Male,18 to 24,Adult,Crimes Against Property,Other,6
7504,2019,D55,44,Flemingdon Park (44),Male,35 to 44,Adult,Crimes Against Property,Other,3
7505,2017,D43,135,Morningside (135),Male,25 to 34,Adult,Controlled Drugs and Substances Act,Other,1
7506,2015,D41,122,Birchcliffe-Cliffside (122),Male,45 to 54,Adult,Crimes Against Property,Break and Enter,2
7507,2014,D41,120,Clairlea-Birchmount (120),Female,65+,Adult,Crimes Against Property,Theft Under $5000,1
7508,2017,D55,43,Victoria Village (43),Male,35 to 44,Adult,Crimes Against the Person,Other,1
7509,2017,D22,12,Markland Wood (12),Male,35 to 44,Adult,Crimes Against Property,Other,1
7510,2022,D53,100,Yonge-Eglinton (100),Female,25 to 34,Adult,Crimes Against Property,Theft Under $5000,3
7511,2016,D33,53,Henry Farm (53),Male,45 to 54,Adult,Crimes Against the Person,Other,1
7512,2015,D55,70,South Riverdale (70),Female,25 to 34,Adult,Controlled Drugs and Substances Act,Other,1
7513,2016,D13,92,Corso Italia-Davenport (92),Male,35 to 44,Adult,Crimes Against Property,Theft Under $5000,1
7514,2017,D12,29,Maple Leaf (29),Male,45 to 54,Adult,Other Criminal Code Violations,Other,3
7515,2020,D12,28,Rustic (28),Male,45 to 54,Adult,Controlled Drugs and Substances Act,Other,1
7516,2015,D42,146,Malvern East (146),Male,45 to 54,Adult,Crimes Against the Person,Sexual Violations,1
7517,2015,D43,134,Highland Creek (134),Male,18 to 24,Adult,Crimes Against the Person,Assaults,5
7518,2014,D23,6,Kingsview Village-The Westway (6),Male,35 to 44,Adult,Crimes Against Property,Other,3
7519,2019,D41,120,Clairlea-Birchmount (120),Male,55 to 64,Adult,Other Criminal Code Violations,Other,12
7520,2020,D13,108,Briar Hill-Belgravia (108),Male,55 to 64,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
7521,2016,D33,53,Henry Farm (53),Male,<18,Youth,Crimes Against the Person,Sexual Violations,1
7522,2016,D14,85,South Parkdale (85),Male,<18,Youth,Crimes Against the Person,Robbery,5
7523,2017,D53,56,Leaside-Bennington (56),Male,25 to 34,Adult,Other Criminal Code Violations,Other,3
7524,2015,D41,120,Clairlea-Birchmount (120),Male,25 to 34,Adult,Crimes Against Property,Other,24
7525,2020,D53,102,Forest Hill North (102),Male,45 to 54,Adult,Crimes Against Property,Break and Enter,1
7526,2019,D55,67,Playter Estates-Danforth (67),Male,25 to 34,Adult,Crimes Against the Person,Other,1
7527,2014,D31,21,Humber Summit (21),Female,25 to 34,Adult,Crimes Against Property,Theft Under $5000,1
7528,2018,D32,38,Lansing-Westgate (38),Male,25 to 34,Adult,Crimes Against Property,Theft Under $5000,3
7529,2019,D32,33,Clanton Park (33),Female,25 to 34,Adult,Crimes Against the Person,Assaults,4
