_id,ARREST_YEAR,DIVISION,HOOD_158,NEIGHBOURHOOD_158,SEX,AGE_COHORT,AGE_GROUP,CATEGORY,SUBTYPE,ARREST_COUNT
61,2018,D33,40,St.Andrew-Windfields (40),Male,25 to 34,Adult,Crimes Against the Person,Other,1
62,2018,D33,42,Banbury-Don Mills (42),Female,25 to 34,Adult,Crimes Against Property,Theft Under $5000,4
63,2014,D11,85,South Parkdale (85),Male,35 to 44,Adult,Crimes Against the Person,Assaults,3
64,2017,D55,60,Woodbine-Lumsden (60),Male,<18,Youth,Crimes Against the Person,Other,1
65,2017,D22,20,Alderwood (20),Male,35 to 44,Adult,Other Criminal Code Violations,Other,2
66,2014,D43,134,Highland Creek (134),Male,18 to 24,Adult,Crimes Against Property,Fraud,1
67,2018,D13,107,Oakwood Village (107),Male,25 to 34,Adult,Crimes Against Property,Theft Under $5000,4
68,2015,D41,119,Wexford/Maryvale (119),Female,45 to 54,Adult,Crimes Against Property,Other,3
69,2021,D14,85,South Parkdale (85),Male,35 to 44,Adult,Other Criminal Code Violations,Other,39
70,2018,D14,81,Trinity-Bellwoods (81),Male,65+,Adult,Crimes Against the Person,Assaults,1
71,2019,D32,33,Clanton Park (33),Male,55 to 64,Adult,Crimes Against the Person,Assaults,2
72,2020,D33,43,Victoria Village (43),Male,18 to 24,Adult,Crimes Against the Person,Sexual Violations,1
73,2020,D55,67,Playter Estates-Danforth (67),Male,35 to 44,Adult,Other Criminal Code Violations,Other,6
74,2019,D41,123,Cliffcrest (123),Female,<18,Youth,Crimes Against the Person,Assaults,5
75,2020,D11,171,Junction-Wallace Emerson (171),Female,25 to 34,Adult,Crimes Against the Person,Assaults,3
76,2018,D14,78,Kensington-Chinatown (78),Female,55 to 64,Adult,Crimes Against Property,Theft Under $5000,1
77,2020,D42,146,Malvern East (146),Male,45 to 54,Adult,Crimes Against the Person,Sexual Violations,2
78,2021,D41,125,Ionview (125),Female,35 to 44,Adult,Other Criminal Code Violations,Other,3
79,2017,D14,163,Fort York-Liberty Village (163),Male,45 to 54,Adult,Crimes Against the Person,Other,1
80,2015,D52,170,Yonge-Bay Corridor (170),Female,35 to 44,Adult,Crimes Against Property,Fraud,3
81,2022,D33,53,Henry Farm (53),Female,25 to 34,Adult,Other Criminal Code Violations,Other,2
82,2017,D41,123,Cliffcrest (123),Male,25 to 34,Adult,Crimes Against Property,Break and Enter,1
83,2017,D33,149,Parkwoods-O'Connor Hills (149),Male,25 to 34,Adult,Crimes Against the Person,Other,5
84,2022,NSA,NSA,NSA,Male,18 to 24,Adult,Crimes Against the Person,Other,4
85,2017,D12,111,Rockcliffe-Smythe (111),Female,35 to 44,Adult,Crimes Against the Person,Assaults,4
86,2018,D14,79,University (79),Male,45 to 54,Adult,Crimes Against Property,Theft Under $5000,2
87,2016,D42,144,Morningside Heights (144),Male,18 to 24,Adult,Crimes Against Property,Theft Under $5000,2
88,2015,D53,97,Yonge-St.Clair (97),Male,35 to 44,Adult,Crimes Against the Person,Other,1
89,2018,D22,159,Etobicoke City Centre (159),Male,18 to 24,Adult,Crimes Against the Person,Assaults,10
90,2022,D55,70,South Riverdale (70),Male,35 to 44,Adult,Crimes Against the Person,Other,14
91,2017,D42,129,Agincourt North (129),Male,18 to 24,Adult,Crimes Against the Person,Other,4
92,2018,D41,125,Ionview (125),Male,<18,Youth,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
93,2020,D22,159,Etobicoke City Centre (159),Male,45 to 54,Adult,Crimes Against the Person,Other,3
94,2021,D23,7,Willowridge-Martingrove-Richview (7),Male,25 to 34,Adult,Other Criminal Code Violations,Other,9
95,2014,D12,111,Rockcliffe-Smythe (111),Male,35 to 44,Adult,Criminal Code Traffic,Refuse Sample,1
96,2014,D55,120,Clairlea-Birchmount (120),Male,25 to 34,Adult,Crimes Against Property,Other,1
97,2021,D42,148,East L'Amoreaux (148),Male,35 to 44,Adult,Crimes Against Property,Other,3
98,2016,D23,5,Elms-Old Rexdale (5),Male,25 to 34,Adult,Criminal Code Traffic,Dangerous Driving,1
99,2019,D51,74,North St.James Town (74),Male,45 to 54,Adult,Crimes Against Property,Other,3
100,2015,D11,171,Junction-Wallace Emerson (171),Male,25 to 34,Adult,Crimes Against Property,Theft Under $5000,8
101,2021,D13,96,Casa Loma (96),Male,25 to 34,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
102,2018,D12,NSA,NSA,Male,35 to 44,Adult,Crimes Against Property,Other,1
103,2015,D22,16,Stonegate-Queensway (16),Male,65+,Adult,Other Criminal Code Violations,Firearm-Related,1
104,2016,D51,73,Moss Park (73),Male,18 to 24,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,1
105,2016,D43,142,Woburn North (142),Male,25 to 34,Adult,Controlled Drugs and Substances Act,Other,3
106,2021,D55,120,Clairlea-Birchmount (120),Male,25 to 34,Adult,Controlled Drugs and Substances Act,Other,1
107,2020,D43,136,West Hill (136),Male,18 to 24,Adult,Crimes Against Property,Theft Under $5000,4
108,2020,D53,174,South Eglinton-Davisville (174),Male,<18,Youth,Crimes Against Property,Other,1
109,2021,D43,123,Cliffcrest (123),Male,35 to 44,Adult,Other Criminal Code Violations,Firearm-Related,1
110,2016,D11,84,Little Portugal (84),Male,25 to 34,Adult,Crimes Against the Person,Assaults,3
111,2018,D41,125,Ionview (125),Male,55 to 64,Adult,Crimes Against the Person,Other,2
112,2015,D53,95,Annex (95),Female,25 to 34,Adult,Crimes Against Property,Theft Under $5000,5
113,2022,D53,173,North Toronto (173),Male,25 to 34,Adult,Criminal Code Traffic,Drive While Disqualified,1
114,2018,D22,161,Humber Bay Shores (161),Male,25 to 34,Adult,Other Criminal Code Violations,Other,11
115,2018,D14,81,Trinity-Bellwoods (81),Male,65+,Adult,Criminal Code Traffic,Drive While Disqualified,1
116,2017,D55,44,Flemingdon Park (44),Female,18 to 24,Adult,Controlled Drugs and Substances Act,Other,1
117,2022,D22,158,Islington (158),Male,45 to 54,Adult,Crimes Against Property,Break and Enter,1
118,2014,D12,113,Weston (113),Female,45 to 54,Adult,Other Criminal Code Violations,Other,1
119,2022,D13,107,Oakwood Village (107),Female,35 to 44,Adult,Crimes Against the Person,Assaults,2
120,2015,D13,107,Oakwood Village (107),Male,18 to 24,Adult,Other Criminal Code Violations,Firearm-Related,2
121,2016,D55,69,Blake-Jones (69),Male,55 to 64,Adult,Crimes Against the Person,Other,1
122,2018,D55,70,South Riverdale (70),Male,25 to 34,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,3
123,2015,D14,84,Little Portugal (84),Male,45 to 54,Adult,Other Criminal Code Violations,Other,2
124,2020,D12,111,Rockcliffe-Smythe (111),Male,25 to 34,Adult,Controlled Drugs and Substances Act,Other,3
125,2018,D55,68,North Riverdale (68),Male,18 to 24,Adult,Crimes Against Property,Other,1
126,2016,D43,157,Bendale South (157),Male,18 to 24,Adult,Criminal Code Traffic,Drive While Disqualified,1
127,2016,D13,109,Caledonia-Fairbank (109),Male,65+,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,1
128,2015,D23,3,Thistletown-Beaumond Heights (3),Male,25 to 34,Adult,Crimes Against Property,Other,5
